iter	Passed	Remaining
1605	13071	11346
1606	13081	11339
1607	13089	11330
1608	13096	11321
1609	13103	11312
1610	13111	11304
1611	13119	11296
1612	13127	11287
1613	13135	11280
1614	13144	11272
1615	13152	11264
1616	13159	11255
1617	13168	11247
1618	13175	11239
1619	13184	11231
1620	13192	11223
1621	13200	11214
1622	13208	11206
1623	13217	11198
1624	13225	11190
1625	13233	11182
1626	13241	11173
1627	13248	11165
1628	13256	11157
1629	13263	11148
1630	13271	11139
1631	13279	11130
1632	13286	11122
1633	13294	11113
1634	13301	11104
1635	13309	11096
1636	13316	11087
1637	13324	11079
1638	13332	11070
1639	13339	11062
1640	13349	11055
1641	13356	11046
1642	13364	11038
1643	13373	11030
1644	13380	11022
1645	13388	11013
1646	13396	11005
1647	13404	10997
1648	13412	10988
1649	13420	10980
1650	13427	10971
1651	13435	10963
1652	13443	10954
1653	13450	10946
1654	13458	10937
1655	13466	10928
1656	13473	10920
1657	13481	10911
1658	13489	10903
1659	13496	10895
1660	13504	10886
1661	13512	10878
1662	13520	10870
1663	13528	10861
1664	13536	10853
1665	13544	10845
1666	13551	10836
1667	13559	10828
1668	13566	10819
1669	13574	10810
1670	13582	10802
1671	13589	10793
1672	13597	10785
1673	13605	10777
1674	13614	10769
